index	panoID	Open_Water	Perrenial_snow	Developed_open	Developed_low	Developed_Med	Developed_High	Barren	Decidous	Evergreen	Mixed	Dwarf_scrub	Shrub	Grassland	Sedge	Lichens	Moss	Pasture_Hay	Cultivated_crops	Woodey_Wetlands	Emergent_herbacous_Wetland	extent	Open_Water	Perrenial_snow	Developed_open	Developed_low	Developed_Med	Developed_High	Barren	Decidous	Evergreen	Mixed	Dwarf_scrub	Shrub	Grassland	Sedge	Lichens	Moss	Pasture_Hay	Cultivated_crops	Woodey_Wetlands	Emergent_herbacous_Wetland	extent	Open_Water	Perrenial_snow	Developed_open	Developed_low	Developed_Med	Developed_High	Barren	Decidous	Evergreen	Mixed	Dwarf_scrub	Shrub	Grassland	Sedge	Lichens	Moss	Pasture_Hay	Cultivated_crops	Woodey_Wetlands	Emergent_herbacous_Wetland	extent
1	88095926	74.50	0	4.34	1.43	0	0	0	0.65	1.56	0.17	0	1.26	0.48	0	0	0	0.22	5.59	9.11	1.26	1793294.85201	78.16	0	2.90	1.35	0	0	0	0.63	1.35	0.19	0	0.63	0.14	0	0	0	0.24	4.69	9.37	0.97	1606280.79531	68.30	0	6.26	4.31	0	0	0	0.98	0	0	0	0	0	0	0	0	0	5.09	13.31	3.33	401376.347408
2	6300786	10.07	0	2.16	0	0	0	0	0	0	0	0	0.72	4.12	0	0	0	0	0	77.17	6.21	1189761.6532	10.31	0	2.84	0	0	0	0	0	0	0	0	0.95	5.41	0	0	0	0	0	75.26	5.84	904521.428548	12.30	0	4.41	0	0	0	0	0	0	0	0	1.47	8.42	0	0	0	0	0	70.59	3.74	584821.838734
3	60390452	56.40	0	2.01	0.74	0.15	0.06	0	0.94	1.00	0.34	0	0.74	0.14	0	0	0	4.42	7.50	20.21	5.46	9267158.2274	41.69	0	3.25	1.26	0.27	0.10	0	1.17	1.69	0.57	0	0.82	0.21	0	0	0	7.63	12.74	27.73	1.09	5167617.30722	14.09	0	4.58	2.47	0.87	0.36	0	0	0	0	0	1.03	0	0	0	0	24.90	32.46	18.62	1.18	1512177.94527
4	95977271	98.77	0	0.41	0.07	0.00	0	0	0.02	0.02	0	0	0.08	0	0	0	0	0.03	0.35	0.12	0.15	34324814.6382	99.82	0	0.03	0	0	0	0	0.05	0	0	0	0.03	0	0	0	0	0	0	0.07	0.05	11456210.8959	98.92	0	0.16	0	0	0	0	0.32	0	0	0	0.16	0	0	0	0	0	0	0.40	0.32	1943932.95812
5	95977305	91.72	0	0.71	0.12	0.00	0	0	0.01	0.17	0	0	0.19	0	0	0	0	0.25	1.38	1.76	3.71	32817423.9248	99.28	0	0.01	0	0	0	0	0.03	0	0	0	0.04	0	0	0	0	0	0.36	0.26	0.07	12349492.3712	95.73	0	0.04	0	0	0	0	0.19	0	0	0	0.22	0	0	0	0	0	2.14	1.57	0.41	2067204.62233
6	57909720	67.24	0	1.10	0.04	0	0	0	0.04	0.09	0	0	0.32	0	0	0	0	0.02	1.48	8.47	21.26	10572277.5146	59.61	0	1.23	0.03	0	0	0	0	0.15	0	0	0.41	0	0	0	0	0.03	1.20	10.99	26.48	5969993.95697	51.39	0	1.16	0.10	0	0	0	0	0	0	0	0	0	0	0	0	0.05	3.24	9.67	34.78	1531322.10244
7	15182183	6.83	0	1.27	0	0	0	0	0	0	0	0	0.66	2.86	0	0	0	0	0	86.84	1.89	1524465.31882	7.27	0	1.38	0	0	0	0	0	0	0	0	0.72	3.09	0	0	0	0	0	85.90	2.04	1407430.15238	7.72	0	1.71	0	0	0	0	0	0	0	0	0.89	3.83	0	0	0	0	0	84.69	1.64	1138706.49471
8	27203903	52.51	0	0.16	0.01	0	0	0	0	0	0	0	0.02	0.04	0	0	0	0	0.04	35.55	11.78	6355860.17645	56.16	0	0	0	0	0	0	0	0	0	0	0.03	0.05	0	0	0	0	0	30.60	13.25	4999020.83647	71.70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.00	12.44	2088848.79029
9	23155892	20.88	0	11.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.34	60.99	144464.424933	20.88	0	11.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.34	60.99	144058.625987	20.44	0	11.60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.39	61.33	143691.857351
10	33486841	51.89	0	1.51	0.12	0	0	0.01	0.01	0.37	0.01	0	0.48	0	0	0	0	0.44	2.31	11.20	31.74	11200723.5232	55.12	0	1.32	0.07	0	0	0	0	0	0	0	0.01	0	0	0	0	0.20	1.52	6.60	35.26	7663997.9241	65.34	0	2.02	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86	31.84	2415043.38411
11	7718695	7.32	0	0.73	0.17	0	0	0	0.11	0.51	0	0	0.34	0	0	0	0	0	0.28	83.10	8.00	1381875.13182	8.22	0	0.83	0.19	0	0	0	0.13	0.57	0	0	0.38	0	0	0	0	0	0.32	80.96	9.04	1219685.44591	10.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.44	11.04	908060.885125
12	93875349	8.65	0	22.97	4.32	2.43	0	0	0	0	0	0	11.89	0.54	0	0	0	1.08	25.41	18.38	7.30	294816.488732	8.84	0	23.48	4.42	2.49	0	0	0	0	0	0	12.15	0.55	0	0	0	1.10	25.97	17.68	6.35	287816.267603	0	0	31.60	5.95	3.35	0	0	0	0	0	0	16.36	0.37	0	0	0	1.49	34.57	8.92	1.12	215888.836668
13	11172894	94.43	0	0.35	0.07	0.02	0.00	0	0.08	0.12	0	0	0.05	0.02	0	0	0	0.02	1.03	1.48	2.35	61391858.109	99.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.45	24548691.4744	-511200.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3950594.8506
14	7673959	47.48	0	1.88	0.17	0	0	0.03	0.03	0.96	0.15	0	0.84	0.08	0	0	0	1.11	2.51	13.93	30.93	11121618.3519	56.55	0	0.99	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	1.74	40.65	7209805.25825	59.03	0	2.55	0.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	38.18	2334016.88294
15	19042532	73.82	0	1.69	0.15	0	0	0.05	0.02	0.02	0	0	0.25	0.05	0	0	0	1.54	0.85	5.24	16.54	4722933.70683	82.15	0	1.10	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20	16.61	3790652.39569	78.57	0	3.37	0.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61	17.65	1150388.95667
16	8118517	67.08	0	1.45	0.11	0	0	0	0.01	0.77	0	0	0.24	0	0	0	0	1.13	0.67	8.24	20.43	6134158.18455	74.84	0	0.92	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06	23.26	4850702.90259	73.35	0	2.79	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	23.81	1609768.20156
17	106005480	100.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75458522.7658	-3204000.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24815965.192	-511200.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3970554.58131
18	84654011	1.85	0	2.08	0.72	0.03	0	0	0.06	0	0.01	0	0	0.10	0	0	0	0	3.66	88.55	3.05	6951765.12096	2.39	0	2.51	0.94	0.05	0	0	0.02	0	0.02	0	0	0.14	0	0	0	0	4.87	86.79	2.46	4958827.89495	2.75	0	3.72	1.78	0.15	0	0	0	0	0.05	0	0	0	0	0	0	0	3.52	87.46	1.02	1524919.54488
19	84653994	3.73	0	1.99	0.82	0.06	0	0	0.28	1.08	0.03	0	0.54	0	0	0	0	0.09	1.96	86.24	3.57	2457868.78286	4.82	0	2.69	1.11	0.09	0	0	0.38	1.45	0.04	0	0.73	0	0	0	0	0.13	2.65	84.16	2.31	1817894.94829	7.87	0	5.33	2.54	0.12	0	0	0.24	2.78	0	0	0.24	0	0	0	0	0.36	3.75	74.94	3.27	648698.361944
20	13790477	2.76	0	19.52	4.46	0.53	0	0	0.80	3.30	0.09	0	2.67	0.18	0	0	0	1.07	17.65	41.80	6.42	879350.076041	3.04	0	20.27	4.90	0.59	0	0	0.88	3.62	0.10	0	2.94	0.20	0	0	0	1.18	17.63	40.94	5.09	798896.106398	2.15	0	24.78	5.82	0.76	0	0	1.14	4.68	0.13	0	3.79	0.25	0	0	0	1.52	19.72	33.50	3.54	623103.416531
